Title,DOI,project
<i>Beescape</i> and <i>BeeSpatial</i>: Making multi-scale environmental indicators of bee habitat accessible across audiences,10.1016/j.indic.2026.101381,beespatial
Agricultural intensification associated with significant reduction in epiphyte diversity on coffee plants,10.1016/j.agee.2026.110249,
Modeling tools for ecosystem service tradeoffs and synergies in agricultural landscapes,10.1080/00224561.2025.2533100,ecosystem-services
Benefits of wildflower strips in agricultural field margins differ based on landscape complexity across four ecosystem services,10.1007/s10980-025-02185-y,ecosystem-services
"Interplay between harvesting, planting density, and ripening time affects coffee leaf rust dispersal and infection",10.1007/s12080-025-00609-8,coffee-rust
Estimating accuracy and precision in the bioavailability-adjusted exposure point concentration to support human health risk assessment of lead-contaminated soils,10.1080/15287394.2025.2542348,
Non-Independent Co-Occurrence of Two Important Fungal Pathogens of Coffee Suggests a Potential Trade-Off in Varietal Resistance,10.1111/jph.70184,coffee-rust
Proximity to Natural Habitat Is Not Consistently Associated With Pollination Services in Tropical Smallholder Farms: A Systematic Review and Meta-Analysis,10.1111/ele.70229,oil-palm
A simple mechanism for uncrewed aircraft bioaerosol sampling in the lower atmosphere,10.1007/s10980-024-01918-9,coffee-rust
Farmer Perceptions of Land Cover Classification of UAS Imagery of Coffee Agroecosystems in Puerto Rico,10.3390/geographies4020019,coffee-rust
A map of pollinator floral resource habitats in the agricultural landscape of Central New York,10.3897/oneeco.9.e118634,deepflora
Seasonal bee communities vary in their responses to resources at local and landscape scales: implication for land managers,10.1007/s10980-024-01895-z,deepflora
"United States house dust Pb concentrations are influenced by soil, paint, and house age: insights from a national survey",10.1038/s41370-024-00655-0,
Not just crop or forest: an integrated land cover map for agricultural and natural areas,10.1038/s41597-024-02979-w,deepflora
An estuary stress index based on nekton relationships with thematic watershed stressors,10.1016/j.ecolind.2023.110678,
Looking beyond land-use and land-cover change: Zoonoses emerge in the agricultural matrix,10.1016/j.oneear.2023.08.010,
Tropical lowland rainforest conversion to rubber monoculture affects flight activity and pollen resources of the stingless bees Tetragonula laeviceps,10.5994/jei.20.1.88,oil-palm
Coffee leaf rust (Hemileia vastatrix) is spread by rain splash from infected leaf litter in a semi-controlled experiment,10.1007/s42161-023-01404-2,coffee-rust
Tree islands enhance biodiversity and functioning in oil palm landscapes,10.1038/s41586-023-06086-5,oil-palm
Tree identity and canopy openness mediate oil palm biodiversity enrichment effects on insect herbivory and pollination,10.1002/eap.2862,oil-palm
Biomonitoring via DNA metabarcoding and light microscopy of bee pollen in rainforest transformation landscapes of Sumatra,10.1186/s12862-022-02004-x,oil-palm
Adjacent forest moderates insect pollination of oil palm,10.1016/j.agee.2022.108108,oil-palm
A national survey of lead and other metal(loids) in residential drinking water in the United States,10.1038/s41370-022-00461-6,
Reduced rainfall and resistant varieties mediate a critical transition in the coffee rust disease,10.1038/s41598-022-05362-0,coffee-rust
Landscape drivers of connectivity for a forest rodent in a coffee agroecosystem,10.1007/s10980-020-00999-6,
Taylor made landscapes: using Taylor's law to scale between metapopulations and source-sinks in urban garden space,10.3389/fsufs.2020.00046,
The Community Ecology of Herbivore Regulation in an Agroecosystem: Lessons from Complex Systems,10.1093/biosci/biz127,
Critical factors limiting pollination success in oil palm: A systematic review,10.1016/j.agee.2019.05.001,oil-palm
Reducing Fertilizer and Avoiding Herbicides in Oil Palm Plantations—Ecological and Economic Valuations,10.3389/ffgc.2019.00065,oil-palm
Context Matters: Contrasting Ladybird Beetle Responses to Urban Environments across Two US Regions,10.3390/su10061829,
Relating soil geochemical properties to arsenic bioaccessibility through hierarchical modeling,10.1080/15287394.2018.1423798,
Relationship Between Total and Bioaccessible Lead on Children’s Blood Lead Levels in Urban Residential Philadelphia Soils,10.1021/acs.est.7b02058,
From endogenous to exogenous pattern formation: Invasive plant species changes the spatial distribution of a native ant,10.1111/gcb.13671,
Disentangling endogenous versus exogenous pattern formation in spatial ecology: a case study of the ant Azteca sericeasur in southern Mexico,10.1098/rsos.160073,
Effect of Sub-Canopy on Habitat Selection in the Blue-spotted Salamander (Ambystoma laterale-jeffersonianum unisexual complex),10.1643/CE-12-051,
"Coyote, Canis latrans, Predation on a Bison, Bison bison, Calf in Yellowstone National Park",10.22621/cfn.v123i3.974,
