"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5BSCECJK","journalArticle","2013","Belasen, Anat; Burkett, Erin; Injaian, Allison; Li, Kevin; Allen, David; Perfecto, Ivette","Effect of Sub-Canopy on Habitat Selection in the Blue-spotted Salamander (Ambystoma laterale-jeffersonianum unisexual complex)","Copeia","","","10.1643/CE-12-051","http://www.asihcopeiaonline.org/doi/pdf/10.1643/CE-12-051","Elucidating the mechanisms that influence spatial distribution patterns is vital to understanding how populations persist. We examined distribution in one of the most common salamanders in southeastern Michigan, the Blue-spotted Salamander (Ambystoma laterale-jeffersonianum unisexual complex). Three major tree species dominate the sub-canopy in the study site and form monospecific patches, which may have an effect on the distribution of terrestrial phases of local amphibian species. To examine this, we tested whether adult salamanders are significantly associated negatively or positively with patches of particular tree species. We then examined two potential causal factors: habitat quality, using leaf litter macroinvertebrate biomass as a proxy, and behavioral site choice in the Blue-spotted Salamander. We found that this species is positively associated with patches of red maple and negatively associated with patches of black cherry. We also found that, when presented with a choice, salamanders choose red maple leaf litter over black cherry leaf litter. In the absence of differences in physical leaf litter characteristics between patches of red maple and black cherry, we suggest that the Blue-spotted Salamander may be utilizing chemical cues to select habitat. Our findings imply that salamander populations may be affected not only by habitat loss, but also by changes in forest composition. These results provide evidence for a more complex model than the traditional amphibian metapopulation concept, where even fully forested habitat may form a matrix of optimal and sub-optimal, or even intolerable, patches.","2013-07","2017-10-08 03:26:37","2026-02-14 22:37:23","","254-261","","2","2013","","","","","","","","","","","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","","","","","/Users/kevinl/Zotero/storage/3GEBDT6W/Belasen et al_2013_Effect of Sub-Canopy on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SN8AA5J8","journalArticle","2016","Li, Kevin; Vandermeer, John H.; Perfecto, Ivette","Disentangling endogenous versus exogenous pattern formation in spatial ecology: a case study of the ant Azteca sericeasur in southern Mexico","Royal Society Open Science","","2054-5703","10.1098/rsos.160073","http://rsos.royalsocietypublishing.org/content/3/5/160073%5Cnhttp://rsos.royalsocietypublishing.org/content/3/5/160073.full?ijkey=Gh0O8ecullSQNuu&keytype=ref#ref-5%5Cnhttp://rsos.royalsocietypublishing.org/content/royopensci/3/5/160073.full.pdf","Spatial patterns in ecology can be described as reflective of environmental heterogeneity (exogenous), or emergent from dynamic relationships between interacting species (endogenous), but few empirical studies focus on the combination. The spatial distribution of the nests of Azteca sericeasur, a keystone tropical arboreal ant, is thought to form endogenous spatial patterns among the shade trees of a coffee plantation through self-regulating interactions with controlling agents (i.e. natural enemies). Using inhomogeneous point process models, we found evidence for both types of processes in the spatial distribution of A. sericeasur. Each year's nest distribution was determined mainly by a density-dependent relationship with the previous year's lagged nest density; but using a novel application of a Thomas cluster process to account for the effects of nest clustering, we found that nest distribution also correlated significantly with tree density in the later years of the study. This coincided with the initiation of agricultural intensification and tree felling on the coffee farm. The emergence of this significant exogenous effect, along with the changing character of the density-dependent effect of lagged nest density, provides clues to the mechanism behind a unique phenomenon observed in the plot, that of an increase in nest population despite resource limitation in nest sites. Our results have implications in coffee agroecological management, as this system provides important biocontrol ecosystem services. Further research is needed, however, to understand the effective scales at which these relationships occur.","2016-05","2017-10-07 07:04:05","2017-10-08 04:39:10","","160073-160073","","5","3","","","","","","","","","","en","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","","","","","/Users/kevinl/Zotero/storage/GHHQNTAZ/Li, Vandermeer, Perfecto - 2016 - Disentangling endogenous versus exogenous pattern formation in spatial ecology a case study of the ant.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D27WJWBE","journalArticle","2019","Vandermeer, John; Armbrecht, Inge; de la Mora, Aldo; Ennis, Katherine K.; Fitch, Gordon; Gonthier, David J.; Hajian-Forooshani, Zachary; Hsieh, Hsun-Yi; Iverson, Aaron; Jackson, Douglas; Jha, Shalene; Jiménez-Soto, Estelí; Lopez-Bautista, Gustavo; Larsen, Ashley; Li, Kevin; Liere, Heidi; MacDonald, Andrew; Marin, Linda; Mathis, Kaitlyn A.; Monagan, Ivan; Morris, Jonathan R.; Ong, Theresa; Pardee, Gabriella L.; Rivera-Salinas, Iris Saraeny; Vaiyda, Chatura; Williams-Guillen, Kimberly; Yitbarek, Senay; Uno, Shinsuke; Zemenick, Ash; Philpott, Stacy M.; Perfecto, Ivette","The Community Ecology of Herbivore Regulation in an Agroecosystem: Lessons from Complex Systems","BioScience","","0006-3568","10.1093/biosci/biz127","https://academic.oup.com/bioscience/article/69/12/974/5672693","Abstract.  Whether an ecological community is controlled from above or below remains a popular framework that continues generating interesting research question","2019-12-01","2020-01-06 21:03:04","2020-01-06 21:03:04","2020-01-06 21:03:04","974-996","","12","69","","BioScience","The Community Ecology of Herbivore Regulation in an Agroecosystem","","","","","","","en","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","academic.oup.com","","","","/Users/kevinl/Zotero/storage/3XCZQGKG/5672693.html; /Users/kevinl/Zotero/storage/4URN6WT4/Vandermeer et al_2019_The Community Ecology of Herbivore Regulation in an Agroecosystem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFDASWED","journalArticle","2019","Li, Kevin; Tscharntke, Teja; Saintes, Barbara; Buchori, Damayanti; Grass, Ingo","Critical factors limiting pollination success in oil palm: A systematic review","Agriculture, Ecosystems & Environment","","0167-8809","10.1016/j.agee.2019.05.001","http://www.sciencedirect.com/science/article/pii/S0167880919301240","Oil palm (Elaeis guineensis Jacq) is an economically important crop, yet it plays a major role in tropical deforestation and has significant negative impacts on biodiversity. The ecological drivers of oil palm pollination are still poorly understood, despite pollination being a key ecosystem service for the yield of this multi-billion-dollar industry, with potential links to biodiversity conservation. Here we review biotic and abiotic drivers of pollination and known oil palm pollinators, including local insect species endemic to specific growing regions, and an important, globally-introduced West African weevil (Elaeidobius kamerunicus) whose fluctuating populations have led to concerns about yield and resilience. Future research should clarify pollinator community dynamics to facilitate pollination complementarity, which may strengthen pollination services in regions beyond the oil palm and weevil’s native West African ecosystem. In addition, other interactions such as mutualism, predation, and parasitism are not yet well understood, but could provide further insight into population drivers. Future management research should explore manipulating male palm inflorescence density, a key resource for pollinators, as well as investigate spatial and landscape effects on pollinator populations. Critically, no studies have investigated the effects of climate change on pollination, despite the impacts of rain and temperature on pollination efficiency. A greater understanding of the role of pollinator species and their nonlinear relationships to yield, as well as the complexity of biotic, management, and climate drivers of successful pollination can contribute to a more sustainable oil palm production system that values ecosystem services gained from biodiversity, while also improving producer livelihoods.","2019-08-01","2019-05-08 14:21:56","2019-05-08 14:21:56","2019-05-08 14:21:56","152-160","","","280","","Agriculture, Ecosystems & Environment","Critical factors limiting pollination success in oil palm","","","","","","","","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","ScienceDirect","","","","/Users/kevinl/Zotero/storage/TKU9NNST/Li et al. - 2019 - Critical factors limiting pollination success in o.pdf; /Users/kevinl/Zotero/storage/L3H2AZA9/S0167880919301240.html","","","Yield; Oil palm; Weevil; Land-use management; Fruit set; Pollen limitation; Pollinator complementarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQ3W9YPU","journalArticle","2019","Darras, Kevin F. A.; Corre, Marife D.; Formaglio, Greta; Tjoa, Aiyen; Potapov, Anton; Brambach, Fabian; Sibhatu, Kibrom T.; Grass, Ingo; Rubiano, Andres Angulo; Buchori, Damayanti; Drescher, Jochen; Fardiansah, Riko; Hölscher, Dirk; Irawan, Bambang; Kneib, Thomas; Krashevska, Valentyna; Krause, Alena; Kreft, Holger; Li, Kevin; Maraun, Mark; Polle, Andrea; Ryadin, Aisjah R.; Rembold, Katja; Stiegler, Christian; Scheu, Stefan; Tarigan, Suria; Valdés-Uribe, Alejandra; Yadi, Supri; Tscharntke, Teja; Veldkamp, Edzo","Reducing Fertilizer and Avoiding Herbicides in Oil Palm Plantations—Ecological and Economic Valuations","Frontiers in Forests and Global Change","","2624-893X","10.3389/ffgc.2019.00065","http://www.frontiersin.org/articles/10.3389/ffgc.2019.00065/full?utm_source=S-TWT&utm_medium=SNET&utm_campaign=ECO_FSUFS_XXXXXXXX_auto-dlvrit","Oil palm plantations are intensively managed agricultural systems that increasingly dominate certain tropical regions. Oil palm monocultures have been criticized because of their reduced biodiversity compared to the forests they historically replaced, and because of their negative impact on soils, water, and climate. We experimentally test whether less intensive management schemes may enhance biodiversity and lessen detrimental effects on the environment while maintaining high yields. We compare reduced versus conventional fertilization, as well as mechanical versus chemical weed control (with herbicides) in a long-term, full-factorial, multidisciplinary experiment. We conducted the experiment in an oil palm company estate in Sumatra, Indonesia, and report the results of the first two years. We measured soil nutrients and functions, surveyed above- and below-ground organisms, tracked oil palm condition and productivity, and calculated plantation gross margins. Plants, aboveground arthropods and belowground animals were positively affected by mechanical versus chemical weed control, but we could not detect effects on birds and bats. There were no detectable negative effects of reduced fertilization or mechanical weeding on oil palm yields, fine roots, or leaf area index; however, stem growth was enhanced under mechanical weeding. Also, we could not detect detrimental effects of the reduced fertilization and mechanical weeding on soil nutrients and functions (mineral nitrogen, bulk density, and litter decomposition), but water infiltration and base saturation tended to be higher under mechanical weeding, while soil moisture and microbial biomass varied with treatment. Economic performance, measured as gross margins, was higher under reduced fertilization. There might be a delayed response of oil palm to the different management schemes applied, so results of future years may confirm whether this is a sustainable management strategy. Nevertheless, the initial effects of the experiment are encouraging to consider less intensive management practices as economically and ecologically viable options for oil palm plantations.","2019","2020-04-17 14:54:28","2020-04-17 14:54:28","2020-04-17 14:54:28","","","","2","","Front. For. Glob. Change","","","","","","Frontiers","","English","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","Frontiers","","","","/Users/kevinl/Zotero/storage/6SGH8BBK/Darras et al_2019_Reducing Fertilizer and Avoiding Herbicides in Oil Palm Plantations—Ecological.pdf","","","Biodiversity; ecosystem functions; fertilizer; Gross margin; land use change; Monoculture; Oil palm; Weeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBYRYC8J","journalArticle","2020","Ong, Theresa Wei Ying; Li, Kevin; Lucatero, Azucena; Pak, Damie; Hawkes, L'Oreal M.; Hunter, MaryCarol Rossiter; Vandermeer, John H.","Taylor made landscapes: using Taylor's law to scale between metapopulations and source-sinks in urban garden space","Frontiers in Sustainable Food Systems","","2571-581X","10.3389/fsufs.2020.00046","https://www.frontiersin.org/articles/10.3389/fsufs.2020.00046/abstract","The structure of terrestrial landscapes is commonly viewed as a problem of statistical description defined by the number, size and distance between habitat patches. Yet, for organisms living in that landscape, structure may be perceived very differently depending on the dispersal capacity of the organism of concern -- large animals may perceive a highly fragmented forest as a single patch if adjacent forest patches are sufficiently close, while small animals may be less likely to disperse across degraded habitat and therefore experience a much different patch structure. This is particularly relevant for fragmented landscapes like cities. Urban gardens are reputed to support a diversity of native and non-native urban species found in urban landscapes. Yet we know little about the long-term persistence of organisms associated with urban gardens. Here we utilize Taylor’s law, a universal scaling law denoting a power law relationship between population size and variance to indicate the synchrony of arthropod populations sampled across time in a fragmented urban landscape. Our results indicate that the utility of urban gardens as habitat is strongly dependent on sampling month, spatial scale and taxon. Constrained dispersal across the landscape may limit the potential of urban gardens to conserve natural enemies including ladybird beetles and parasitoid wasps. In contrast, aphid pests are moving much more freely in the landscape as exhibited through synchrony in abundances sampled across local and landscape scales. We find that regardless of the fragmentation pattern existing in the landscape, short-ranged arthropods are isolated to small, independent garden habitat patches (metapopulation-like) with abundances that oscillate out of sync, while long-ranged species traverse greater distances, synchronizing abundances across large, shared spaces (source sink-like). These results suggest an inherent link between Taylor’s temporal law and metapopulation theory, providing a potential mechanism to explain species-specific slopes of Taylor’s law as arising from the ability of organisms to differentially experience fragmented space along the continuum between metapopulation and source-sink.","2020","2020-04-15 12:09:12","2020-07-04 22:41:32","2020-04-15 12:09:12","","","","4","","Front. Sustain. Food Syst.","Taylor made landscapes","","","","","Frontiers","","English","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","Frontiers","","","","/Users/kevinl/Zotero/storage/NQGI8QX6/Ong et al_2020_Taylor Made Landscapes.pdf","","","Dispersal; metapopulations; Spatial Ecology; Taylor's law; Urban gardens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SL4Y98J","journalArticle","2017","Li, Kevin; He, Yifan; Campbell, Susanna K.; Colborn, A. Shawn; Jackson, Eliot L.; Martin, Austin; Monagan, Ivan V.; Ong, Theresa Wei Ying; Perfecto, Ivette","From endogenous to exogenous pattern formation: Invasive plant species changes the spatial distribution of a native ant","Global Change Biology","","1365-2486","10.1111/gcb.13671","http://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13671","Invasive species are a significant threat to global biodiversity, but our understanding of how invasive species impact native communities across space and time remains limited. Based on observations in an old field in Southeast Michigan spanning 35 years, our study documents significant impacts of habitat change, likely driven by the invasion of the shrub, Elaeagnus umbellata, on the nest distribution patterns and population demographics of a native ant species, Formica obscuripes. Landcover change in aerial photographs indicates that E. umbellata expanded aggressively, transforming a large proportion of the original open field into dense shrubland. By comparing the ant's landcover preferences before and after the invasion, we demonstrate that this species experienced a significant unfavorable change in its foraging areas. We also find that shrub landcover significantly moderates aggression between nests, suggesting nests are more related where there is more E. umbellata. This may represent a shift in reproductive strategy from queen flights, reported in the past, to asexual nest budding. Our results suggest that E. umbellata may affect the spatial distribution of F. obscuripes by shifting the drivers of nest pattern formation from an endogenous process (queen flights), which led to a uniform pattern, to a process that is both endogenous (nest budding) and exogenous (loss of preferred habitat), resulting in a significantly different clustered pattern. The number and sizes of F. obscuripes nests in our study site are projected to decrease in the next 40 years, although further study of this population's colony structures is needed to understand the extent of this decrease. Elaeagnus umbellata is a common invasive shrub, and similar impacts on native species might occur in its invasive range, or in areas with similar shrub invasions.","2017","2017-10-07 07:15:05","2020-07-04 17:00:24","2020-07-04 16:59:48","2250-2261","","6","23","","","From endogenous to exogenous pattern formation","","","","","","","en","© 2017 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.13671","","/Users/kevinl/Zotero/storage/XGYSATNJ/Li et al._2017_From endogenous to exogenous pattern formation Invasive plant species changes the spatial distribution of a native ant.pdf; /Users/kevinl/Zotero/storage/TY86VRSV/gcb.html","","and; ann; environment; school of natural resources; university of michigan","Formica obscuripes; autumn olive; Elaeagnus umbellata; invasive species; landcover change; pattern formation; spatial distribution; thatching ant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR7C64EJ","journalArticle","2018","Egerer, Monika; Li, Kevin; Ong, Theresa Wei Ying","Context Matters: Contrasting Ladybird Beetle Responses to Urban Environments across Two US Regions","Sustainability","","","10.3390/su10061829","http://www.mdpi.com/2071-1050/10/6/1829","Urban agroecosystems offer an opportunity to investigate the diversity and distribution of organisms that are conserved in city landscapes. This information is not only important for conservation efforts, but also has important implications for sustainable agricultural practices. Associated biodiversity can provide ecosystem services like pollination and pest control, but because organisms may respond differently to the unique environmental filters of specific urban landscapes, it is valuable to compare regions that have different abiotic conditions and urbanization histories. In this study, we compared the abundance and diversity of ladybird beetles within urban gardens in California and Michigan, USA. We asked what species are shared, and what species are unique to urban regions. Moreover, we asked how beetle diversity is influenced by the amount and rate of urbanization surrounding sampled urban gardens. We found that the abundance and diversity of beetles, particularly of unique species, respond in opposite directions to urbanization: ladybirds increased with urbanization in California, but decreased with urbanization in Michigan. We propose that in California water availability in gardens and the urbanization history of the landscape could explain the divergent pattern. Thus, urban context is likely a key contributor to biodiversity within habitats and an important consideration for sustainable agricultural practices in urban agroecosystems.","2018-06","2018-06-01 13:12:33","2021-12-06 17:58:57","2021-12-06 17:58:31","1829","","6","10","","","Context Matters","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www-mdpi-com.proxy.lib.umich.edu","","Number: 6","","/Users/kevinl/Zotero/storage/GGDHAAYG/Egerer et al. - 2018 - Context Matters Contrasting Ladybird Beetle Respo.pdf; /Users/kevinl/Zotero/storage/ZRYVHEJG/Egerer et al. - 2018 - Context Matters Contrasting Ladybird Beetle Respo.pdf; /Users/kevinl/Zotero/storage/2D9CS7KX/Egerer et al. - 2018 - Context Matters Contrasting Ladybird Beetle Respo.pdf; /Users/kevinl/Zotero/storage/BH5PEXQ4/1829.html","","","biological control; California; impervious surface; Michigan; urban gardens; urbanization rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2TI4W3N","journalArticle","2009","Sheldon, J. W.; Reed, Gregory; Burnett, A. Cheyenne; Li, Kevin; Crabtree, Robert L.","Coyote, Canis latrans, Predation on a Bison, Bison bison, Calf in Yellowstone National Park","The Canadian Field-Naturalist","","0008-3550","10.22621/cfn.v123i3.974","https://www.canadianfieldnaturalist.ca/index.php/cfn/article/view/974","We observed a single adult male Coyote (Canis latrans) kill a Bison (Bison bison) calf in Yellowstone National Park. The predation is, to our knowledge, the only direct and complete observation of a lone Coyote capturing and killing a Bison calf. The bison calf had unsuccessfully attempted to ford a river with a group and subsequently become stranded alone in the territory of a six-year-old alpha male Coyote.","2009","2021-12-06 17:53:40","2024-02-07 14:18:13","2021-12-06 17:53:40","260-261","","3","123","","","","","","","","","","en","Copyright (c)","","","","www.canadianfieldnaturalist.ca","","Number: 3","","/Users/kevinl/Zotero/storage/DN59AI38/Sheldon et al. - 2009 - Coyote, Canis latrans, Predation on a Bison, Bison.pdf","","","Yellowstone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VI2NYIB7","journalArticle","2020","Otero-Jiménez, Beatriz; Li, Kevin; Tucker, Priscilla K.","Landscape drivers of connectivity for a forest rodent in a coffee agroecosystem","Landscape Ecology","","1572-9761","10.1007/s10980-020-00999-6","https://doi.org/10.1007/s10980-020-00999-6","The majority of remaining tropical forests exist as fragments embedded in a matrix of agricultural production. Understanding the effects of these agricultural landscapes on species dispersal is crucial in the development of successful conservation planning.","2020-05-01","2020-07-04 16:55:28","2025-10-08 23:38:10","2020-07-04 16:55:28","1249-1261","","5","35","","Landscape Ecol","","","","","","","","en","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License","","","","Springer Link","","","","/Users/kevinl/Zotero/storage/RCAYRDY4/Otero Jiménez et al_2020_Landscape drivers of connectivity for a forest rodent in a coffee agroecosystem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
